Species/Group,R,K,THETA
Am_plaice,0.235352461,124047.4324,0.42947614
CC_GOM_YellowtailFlounder,0.759571573,8094.401976,0.268940782
GB_YellowtailFlounder,0.591473247,52085.14529,0.548598265
GB_Cod,0.301734286,657314.9508,0.119251802
GB_Haddock,0.26710018,588118.7781,0.068733307
GB_WinterFlounder,0.756307906,24492.30244,0.284372028
GOM_GB_WindowpaneFlounder,0.306430571,15092.41858,0.999999966
GOM_Cod,0.529777284,154624.8985,0.444313825
GOM_Haddock,0.784844048,36302.39516,0.499996393
GOM_WinterFlounder,0.670321069,11487.324,0.119202953
Halibut,0.098214382,4804.58605,0.279661592
Ocean_pout,1.584548935,15856.70109,0.362581901
Pollock,0.422431849,155846.4338,0.548840267
Redfish,0.124154255,4899210.579,0.014364803
SNE_MA_WindowpaneFlounder,0.263068456,13950.38931,0.826053418
SNE_MA_WinterFlounder,0.549003564,19509.99633,0.499168633
SNE_MA_YellowtailFlounder,0.945567502,44980.10253,0.182425524
White_hake,0.231043524,86287.348,0.571847196
WitchFlounder,0.230449084,47363.27255,0.999999482
Butterfish,1.345994341,82614.06625,0.584655769
Herring,0.804933276,964257.2467,0.233122539
Mackerel,1.355812576,485279.1553,0.690153647
Skates,0.393685545,970578.7024,0.506933267
Spiny_dogfish,0.262823649,500835.004,0.308776623